experiment,blur_type,method,mse,psnr,ssim,runtime,parameter,sigma,snr,length,angle
exp_0,gaussian,Tikhonov,0.01261035176859638,18.992727985157764,0.490506082604554,0.00017690658569335938,0.0005,2.0,40,,
exp_0,gaussian,TSVD,0.318158434406238,4.973565590927469,-0.002782656793382648,3.7654030323028564,1500.0,2.0,40,,
exp_1,gaussian,Tikhonov,0.017481301724944255,17.574262312604642,0.34417727224766487,0.0003180503845214844,0.001,2.0,30,,
exp_1,gaussian,TSVD,0.3317087178008459,4.792431144224858,-0.0007000935229166792,2.2393407821655273,1000.0,2.0,30,,
exp_2,gaussian,Tikhonov,0.012191515534682083,19.139423036155826,0.4608559165700169,0.0003688335418701172,0.002,3.0,30,,
exp_2,gaussian,TSVD,0.3256377542591792,4.8726524900429045,0.0111826121341293,2.32007098197937,800.0,3.0,30,,
exp_3,gaussian,Tikhonov,0.016305836235629242,17.87656923738942,0.3321224302117298,0.0004851818084716797,0.005,3.0,20,,
exp_3,gaussian,TSVD,0.3281605407175125,4.839136413783221,-0.007574005331159211,3.0150747299194336,500.0,3.0,20,,
exp_4,motion,Tikhonov,0.043338805195178624,13.631230658886865,0.172042406601782,0.00027489662170410156,0.001,,30,15.0,0.0
exp_4,motion,TSVD,0.3247636350802576,4.884326061800907,0.0035659306996069593,2.7572920322418213,1000.0,,30,15.0,0.0
exp_5,motion,Tikhonov,0.03670010070975112,14.353327439868977,0.1965300252553653,0.0002448558807373047,0.001,,30,15.0,45.0
exp_5,motion,TSVD,0.3289685983155517,4.828455556340527,-0.007231801515022337,2.276751756668091,1000.0,,30,15.0,45.0
